lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
earlysocog-fm,s22,training,train2,-2,"	13.38","	15.00",noerror,NA,NA
earlysocog-fm,s22,training,train1,-1,"	12.14","	15.00",noerror,NA,NA
earlysocog-fm,s22,ADS,ADS5,1,"	12.79","	15.00",noerror,NA,NA
earlysocog-fm,s22,IDS,IDS5,2,"	13.31","	15.00",noerror,NA,NA
earlysocog-fm,s22,IDS,IDS7,3,"	13.60","	15.00",noerror,NA,NA
earlysocog-fm,s22,ADS,ADS7,4,"	11.79","	15.00",noerror,NA,NA
earlysocog-fm,s22,IDS,IDS1,5,"	4.31","	6.77",noerror,NA,NA
earlysocog-fm,s22,ADS,ADS1,6,"	3.44","	5.72",noerror,NA,NA
earlysocog-fm,s22,IDS,IDS3,7,"	11.75","	15.00",noerror,NA,NA
earlysocog-fm,s22,ADS,ADS3,8,"	10.82","	15.00",noerror,NA,NA
earlysocog-fm,s22,IDS,IDS2,9,"	7.33","	11.82",noerror,NA,NA
earlysocog-fm,s22,ADS,ADS2,10,"	3.00","	5.65",noerror,NA,NA
earlysocog-fm,s22,ADS,ADS4,11,"	9.53","	14.98",noerror,NA,NA
earlysocog-fm,s22,IDS,IDS4,12,"	10.47","	15.00",noerror,NA,NA
earlysocog-fm,s22,ADS,ADS6,13,"	6.06","	9.22",noerror,NA,NA
earlysocog-fm,s22,IDS,IDS6,14,"	12.70","	15.00",noerror,NA,NA
earlysocog-fm,s22,ADS,ADS8,15,"	9.37","	12.21",noerror,NA,NA
earlysocog-fm,s22,IDS,IDS8,16,"	11.90","	15.00",noerror,NA,NA
earlysocog-fm,s24,training,train1,-2,"	14.83","	15.00",noerror,NA,NA
earlysocog-fm,s24,training,train2,-1,"	12.97","	15.00",noerror,NA,NA
earlysocog-fm,s24,IDS,IDS1,1,"	14.80","	15.00",noerror,NA,NA
earlysocog-fm,s24,ADS,ADS1,2,"	14.38","	15.00",noerror,NA,NA
earlysocog-fm,s24,IDS,IDS2,3,"	13.36","	15.00",noerror,NA,NA
earlysocog-fm,s24,ADS,ADS2,4,"	13.93","	15.00",noerror,NA,NA
earlysocog-fm,s24,ADS,ADS3,5,"	11.19","	15.00",noerror,NA,NA
earlysocog-fm,s24,IDS,IDS3,6,"	13.65","	15.00",noerror,NA,NA
earlysocog-fm,s24,IDS,IDS4,7,"	14.77","	15.00",noerror,NA,NA
earlysocog-fm,s24,ADS,ADS4,8,"	14.05","	15.00",noerror,NA,NA
earlysocog-fm,s24,ADS,ADS5,9,"	4.14","	6.38",noerror,NA,NA
earlysocog-fm,s24,IDS,IDS5,10,"	13.68","	15.00",noerror,NA,NA
earlysocog-fm,s24,ADS,ADS6,11,"	9.26","	14.22",noerror,NA,NA
earlysocog-fm,s24,IDS,IDS6,12,"	7.38","	9.93",noerror,NA,NA
earlysocog-fm,s24,IDS,IDS7,13,"	4.49","	7.27",noerror,NA,NA
earlysocog-fm,s24,ADS,ADS7,14,"	4.49","	6.78",noerror,NA,NA
earlysocog-fm,s24,ADS,ADS8,15,"	11.07","	15.00",noerror,NA,NA
earlysocog-fm,s24,IDS,IDS8,15,"	14.60","	15.00",noerror,NA,NA
earlysocog-fm,s28 ,training,train1,-2,"	13.08","	15.00",noerror,NA,NA
earlysocog-fm,s28 ,training,train2,-1,"	13.38","	15.00",noerror,NA,NA
earlysocog-fm,s28 ,IDS,IDS1,1,"	13.68","	15.00",noerror,NA,NA
earlysocog-fm,s28 ,ADS,ADS1,2,"	12.13","	15.00",noerror,NA,baby was close to screen so eyes cut off
earlysocog-fm,s28 ,IDS,IDS2,3,"	7.18","	10.06",noerror,NA,NA
earlysocog-fm,s28 ,ADS,ADS2,4,"	2.20","	4.50",noerror,NA,NA
earlysocog-fm,s28 ,ADS,ADS3,5,"	5.80","	9.91",noerror,NA,NA
earlysocog-fm,s28 ,IDS,IDS3,6,"	11.58","	15.00",noerror,NA,NA
earlysocog-fm,s28 ,IDS,IDS4,7,"	6.99","	13.59",noerror,NA,baby was close to screen so eyes cut off
earlysocog-fm,s28 ,ADS,ADS4,8,"	6.89","	12.80",noerror,NA,NA
earlysocog-fm,s28 ,ADS,ADS5,9,"	3.82","	5.99",noerror,NA,NA
earlysocog-fm,s28 ,IDS,IDS5,10,"	4.04","	7.44",noerror,NA,baby was close to screen so eyes cut off
earlysocog-fm,s28 ,ADS,ADS6,11,"	5.24","	8.23",noerror,NA,NA
earlysocog-fm,s28 ,IDS,IDS6,12,"	0.00","	2.00",noerror,NA,NA
earlysocog-fm,s28 ,IDS,IDS7,13,"	11.41","	15.00",noerror,NA,NA
earlysocog-fm,s28 ,ADS,ADS7,14,"	1.84","	5.16",noerror,NA,NA
earlysocog-fm,s28 ,ADS,ADS8,15,"	4.95","	7.53",noerror,NA,NA
earlysocog-fm,s28 ,IDS,IDS8,16,"	5.90","	11.00",noerror,NA,baby was close to screen so eyes cut off
earlysocog-fm,s30,training,train1,-2,"	12.60","	15.00",noerror,NA,NA
earlysocog-fm,s30,training,train2,-1,"	4.44","	6.61",noerror,NA,NA
earlysocog-fm,s30,IDS,IDS5,1,"	7.73","	9.95",noerror,NA,NA
